,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
106,معيار,سرمايه گذاري معيار صنعت پارس,1168,1940728,103447255793,55465,52692,52698,-2767,-4.99,53303,-2162,-3.9,52692,57038
107,فباهنر,مس‌ شهيدباهنر,1168,4476483,91750514150,20000,20300,21000,1000,5,20500,500,2.5,19840,21000
108,سهگمت,سيمان‌هگمتان‌,1166,4454006,83057920320,18180,17320,19040,860,4.73,18650,470,2.59,17320,19080
109,ورنا,سرمايه‌گذاري‌ رنا(هلدينگ‌,1160,16041054,67092665704,4197,4201,4158,-39,-0.93,4183,-14,-0.33,4042,4250
110,آگاس,صندوق س.هستي بخش آگاه-س,1157,780979,47646045222,61016,61000,61020,4,0.01,61008,-8,-0.01,60500,61670
111,آسيا,بيمه آسيا,1065,13733802,22990681054,1656,1697,1694,38,2.29,1674,18,1.09,1650,1697
112,ولملت,واسپاري ملت,1037,9084338,42661673960,4600,4380,4830,230,5,4700,100,2.17,4380,4830
113,كاوه,فولاد كاوه جنوب كيش,1034,5214668,91075318010,17390,17220,17480,90,0.52,17470,80,0.46,17220,17740
114,كگلح,ح . معدني و صنعتي گل گهر,1034,2296814,24763252960,10650,10410,10700,50,0.47,10780,130,1.22,10410,11000
115,ومعادن,توسعه‌معادن‌وفلزات‌,1001,6765418,51608886920,7620,7710,7640,20,0.26,7620,0,0,7520,7750
116,فاسمين,كالسيمين‌,997,10019324,135468179030,12900,13450,13540,640,4.96,13520,620,4.81,13000,13540
117,البرز,بيمه البرز,997,11966009,42207754994,3405,3540,3575,170,4.99,3527,122,3.58,3440,3575
118,وصنعت,سرمايه گذاري توسعه صنعت وتجارت,993,4783792,25634068280,5200,5120,5460,260,5,5360,160,3.08,5090,5460
119,وكادو,تكادو,990,10127970,124326799066,12225,11859,12591,366,2.99,12276,51,0.42,11859,12591
120,بپاس,بيمه پاسارگاد,963,868693,82991036279,94569,94569,95348,779,0.82,95372,803,0.85,94569,96700
121,شپترو,پتروشيمي آبادان,962,20808552,84610949092,3986,3950,4105,119,2.99,4066,80,2.01,3930,4105
122,تاصيكو,سرمايه گذاري صدرتامين,955,8699569,82216591420,9430,9320,9380,-50,-0.53,9440,10,0.11,9100,9600
123,شبصير,توليدات پتروشيمي قائد بصير,952,1365180,102625333575,71718,74500,75303,3585,5,75173,3455,4.82,74000,75303
124,وملل,اعتباري ملل,939,15702569,197914047625,12516,12500,12530,14,0.11,12604,88,0.7,12500,12800
125,غمارگ,مارگارين‌,930,2504974,45977214550,17710,17200,18590,880,4.97,18350,640,3.61,17200,18590
126,طلا,صندوق س.پشتوانه طلاي لوتوس,925,3214232,241922978426,73770,74500,75800,2030,2.75,75266,1496,2.03,73650,76400
127,آوا,صندوق س.سهام آواي معيار-س,919,5327493,33065852119,6286,6211,6183,-103,-1.64,6207,-79,-1.26,6165,6295
128,خاور,ايران خودرو ديزل,910,11154957,44565281484,3889,3801,4005,116,2.98,3995,106,2.73,3801,4005
129,تسه0001,امتيازتسهيلات مسكن فروردين1400,900,12934,7027092300,528333,518888,531000,2667,0.5,543304,14971,2.83,518888,554749
130,فاما,صنعتي‌ آما,883,2467235,33934028850,13700,13020,14380,680,4.96,13750,50,0.36,13020,14380
131,وپست,پست بانك ايران,877,2820769,58039983900,19690,20470,20670,980,4.98,20580,890,4.52,20000,20670
